"t" "B_HF_Mean" "B_HF_sd" "B_HM_Mean" "B_HM_sd" "B_MSM_Mean" "B_MSM_sd" "HF_Mean" "HF_sd" "HM_Mean" "HM_sd" "MSM_Mean" "MSM_sd" "Total_Mean" "Total_sd" "W_HF_Mean" "W_HF_sd" "W_HM_Mean" "W_HM_sd" "W_MSM_Mean" "W_MSM_sd"
"56" 55 0 0 0 0 0 0 4.80769230769231 2.63847275171423 4.23076923076923 2.67294133579759 0 0 9.03846153846154 4.88655927401495 4.80769230769231 2.63847275171423 4.23076923076923 2.67294133579759 0 0
"57" 56 0 0 0 0 0 0 5.96153846153846 3.36429213036881 4.42307692307692 3.0354317903465 0 0 10.3846153846154 5.83147955892446 5.96153846153846 3.36429213036881 4.42307692307692 3.0354317903465 0 0
"58" 57 0 0 0 0 0 0 5.15384615384615 3.47208649307367 4.84615384615385 3.56305832332066 0 0 10 6.01996677731696 5.15384615384615 3.47208649307367 4.84615384615385 3.56305832332066 0 0
"59" 58 0 0 0 0 0 0 4.92307692307692 3.29755153922515 4.76923076923077 2.74674632695038 0 0 9.69230769230769 5.56969823792443 4.92307692307692 3.29755153922515 4.76923076923077 2.74674632695038 0 0
"60" 59 0 0 0 0 0 0 5.69230769230769 3.9168276017127 4.30769230769231 3.40316594681165 0 0 10 6.43739077577243 5.69230769230769 3.9168276017127 4.30769230769231 3.40316594681165 0 0
"61" 60 0 0 0 0 0 0 4.65384615384615 2.81342933363975 3.96153846153846 2.30617899098521 0 0 8.61538461538461 4.63962863235344 4.65384615384615 2.81342933363975 3.96153846153846 2.30617899098521 0 0
"62" 61 0 0 0 0 0 0 4.61538461538461 2.85764830693944 4.53846153846154 3.20288331639814 0 0 9.15384615384615 5.30427983946781 4.61538461538461 2.85764830693944 4.53846153846154 3.20288331639814 0 0
"63" 62 0 0 0 0 0 0 5.5 3.80788655293195 5.26923076923077 3.34134933591437 0 0 10.7692307692308 6.35803549727551 5.5 3.80788655293195 5.26923076923077 3.34134933591437 0 0
"64" 63 0 0 0 0 0 0 5.69230769230769 4.04741132843432 5.23076923076923 3.27789801315041 0 0 10.9230769230769 6.8054276980838 5.69230769230769 4.04741132843432 5.23076923076923 3.27789801315041 0 0
"65" 64 0 0 0 0 0 0 5.11538461538461 3.2781326767161 5.65384615384615 3.55462861848951 0 0 10.7692307692308 5.7501839435461 5.11538461538461 3.2781326767161 5.65384615384615 3.55462861848951 0 0
"66" 65 0 0 0 0 0 0 5.42307692307692 3.26402300142725 5.34615384615385 3.12336110870719 0 0 10.7692307692308 5.76407975175703 5.42307692307692 3.26402300142725 5.34615384615385 3.12336110870719 0 0
"67" 66 0 0 0 0 0 0 4.61538461538461 3.27508073887558 4.69230769230769 3.74987179268018 0 0 9.30769230769231 6.37350284078845 4.61538461538461 3.27508073887558 4.69230769230769 3.74987179268018 0 0
"68" 67 0 0 0 0 0 0 5.38461538461539 4.05045106699906 5.80769230769231 3.49879099997963 0 0 11.1923076923077 6.23550627146974 5.38461538461539 4.05045106699906 5.80769230769231 3.49879099997963 0 0
