seed	t	Total	W_HM	B_HM	HM	W_HF	B_HF	HF	W_MSM	B_MSM	MSM
636811	30	9	5	0	5	4	0	4	0	0	0
636811	31	12	4	0	4	8	0	8	0	0	0
636811	32	10	5	0	5	5	0	5	0	0	0
636811	33	13	4	0	4	9	0	9	0	0	0
636811	34	15	9	0	9	6	0	6	0	0	0
636811	35	14	7	0	7	7	0	7	0	0	0
636811	36	10	4	0	4	6	0	6	0	0	0
636811	37	9	3	0	3	6	0	6	0	0	0
636811	38	11	5	0	5	6	0	6	0	0	0
636811	39	12	3	0	3	9	0	9	0	0	0
636811	40	10	5	0	5	5	0	5	0	0	0
636811	41	9	3	0	3	6	0	6	0	0	0
636811	42	13	5	0	5	8	0	8	0	0	0
636811	43	12	8	0	8	4	0	4	0	0	0
636811	44	13	4	0	4	9	0	9	0	0	0
636811	45	19	8	0	8	11	0	11	0	0	0
636811	46	17	7	0	7	10	0	10	0	0	0
636811	47	17	5	0	5	12	0	12	0	0	0
636811	48	16	10	0	10	6	0	6	0	0	0
636811	49	13	6	0	6	7	0	7	0	0	0
636811	50	7	4	0	4	3	0	3	0	0	0
636811	51	6	2	0	2	4	0	4	0	0	0
636811	52	14	10	0	10	4	0	4	0	0	0
636811	53	8	4	0	4	4	0	4	0	0	0
636811	54	21	8	0	8	13	0	13	0	0	0
636811	55	11	5	0	5	6	0	6	0	0	0
636811	56	17	5	0	5	12	0	12	0	0	0
636811	57	10	3	0	3	7	0	7	0	0	0
636811	58	13	9	0	9	4	0	4	0	0	0
636811	59	20	10	0	10	10	0	10	0	0	0
636811	60	16	9	0	9	7	0	7	0	0	0
636811	61	15	7	0	7	8	0	8	0	0	0
636811	62	12	9	0	9	3	0	3	0	0	0
636811	63	10	4	0	4	6	0	6	0	0	0
636811	64	16	12	0	12	4	0	4	0	0	0
636811	65	14	5	0	5	9	0	9	0	0	0
636811	66	13	4	0	4	9	0	9	0	0	0
636811	67	14	4	0	4	10	0	10	0	0	0
636811	68	10	3	0	3	7	0	7	0	0	0
636811	69	16	5	0	5	11	0	11	0	0	0
636811	70	3	2	0	2	1	0	1	0	0	0
636811	71	3	1	0	1	2	0	2	0	0	0
636811	72	12	2	0	2	10	0	10	0	0	0
636811	73	11	7	0	7	4	0	4	0	0	0
636811	74	10	6	0	6	4	0	4	0	0	0
636811	75	3	1	0	1	2	0	2	0	0	0
636811	76	9	2	0	2	7	0	7	0	0	0
636811	77	9	6	0	6	3	0	3	0	0	0
636811	78	8	3	0	3	5	0	5	0	0	0
636811	79	6	4	0	4	2	0	2	0	0	0
636811	80	5	1	0	1	4	0	4	0	0	0
636811	81	6	5	0	5	1	0	1	0	0	0
636811	82	6	4	0	4	2	0	2	0	0	0
636811	83	4	2	0	2	2	0	2	0	0	0
636811	84	11	4	0	4	7	0	7	0	0	0
636811	85	4	2	0	2	2	0	2	0	0	0
636811	86	4	0	0	0	4	0	4	0	0	0
636811	87	4	2	0	2	2	0	2	0	0	0
636811	88	6	3	0	3	3	0	3	0	0	0
636811	89	9	4	0	4	5	0	5	0	0	0
636811	90	4	3	0	3	1	0	1	0	0	0
636811	91	6	0	0	0	6	0	6	0	0	0
636811	92	6	3	0	3	3	0	3	0	0	0
636811	93	3	3	0	3	0	0	0	0	0	0
636811	94	6	2	0	2	4	0	4	0	0	0
636811	95	4	2	0	2	2	0	2	0	0	0
636811	96	3	3	0	3	0	0	0	0	0	0
636811	97	7	3	0	3	4	0	4	0	0	0
636811	98	2	1	0	1	1	0	1	0	0	0
636811	99	2	0	0	0	2	0	2	0	0	0
636811	100	1	0	0	0	1	0	1	0	0	0
636811	101	4	2	0	2	2	0	2	0	0	0
636811	102	10	6	0	6	4	0	4	0	0	0
636811	103	0	0	0	0	0	0	0	0	0	0
636811	104	4	2	0	2	2	0	2	0	0	0
636811	105	3	2	0	2	1	0	1	0	0	0
636811	106	6	2	0	2	4	0	4	0	0	0
636811	107	4	1	0	1	3	0	3	0	0	0
636811	108	4	4	0	4	0	0	0	0	0	0
636811	109	3	0	0	0	3	0	3	0	0	0
636811	110	2	1	0	1	1	0	1	0	0	0
636811	111	1	1	0	1	0	0	0	0	0	0
636811	112	0	0	0	0	0	0	0	0	0	0
636811	113	3	3	0	3	0	0	0	0	0	0
636811	114	1	0	0	0	1	0	1	0	0	0
636811	115	5	2	0	2	3	0	3	0	0	0
636811	116	3	2	0	2	1	0	1	0	0	0
636811	117	4	2	0	2	2	0	2	0	0	0
636811	118	1	1	0	1	0	0	0	0	0	0
636811	119	4	2	0	2	2	0	2	0	0	0
636811	120	5	3	0	3	2	0	2	0	0	0
137780	0	0	0	0	0	0	0	0	0	0	0
137780	1	1	1	0	1	0	0	0	0	0	0
137780	2	5	3	0	3	2	0	2	0	0	0
137780	3	3	3	0	3	0	0	0	0	0	0
137780	4	4	3	0	3	1	0	1	0	0	0
137780	5	3	0	0	0	3	0	3	0	0	0
137780	6	1	0	0	0	1	0	1	0	0	0
137780	7	4	3	0	3	1	0	1	0	0	0
137780	8	5	3	0	3	2	0	2	0	0	0
137780	9	3	2	0	2	1	0	1	0	0	0
137780	10	3	2	0	2	1	0	1	0	0	0
137780	11	5	1	0	1	4	0	4	0	0	0
137780	12	6	4	0	4	2	0	2	0	0	0
137780	13	7	3	0	3	4	0	4	0	0	0
137780	14	10	4	0	4	6	0	6	0	0	0
137780	15	4	2	0	2	2	0	2	0	0	0
137780	16	13	5	0	5	8	0	8	0	0	0
137780	17	5	3	0	3	2	0	2	0	0	0
137780	18	7	3	0	3	4	0	4	0	0	0
137780	19	5	2	0	2	3	0	3	0	0	0
137780	20	5	0	0	0	5	0	5	0	0	0
137780	21	7	6	0	6	1	0	1	0	0	0
137780	22	8	6	0	6	2	0	2	0	0	0
137780	23	9	6	0	6	3	0	3	0	0	0
137780	24	11	5	0	5	6	0	6	0	0	0
137780	25	12	6	0	6	6	0	6	0	0	0
137780	26	14	9	0	9	5	0	5	0	0	0
137780	27	17	10	0	10	7	0	7	0	0	0
137780	28	14	5	0	5	9	0	9	0	0	0
137780	29	24	10	0	10	14	0	14	0	0	0
137780	30	20	6	0	6	14	0	14	0	0	0
137780	31	17	10	0	10	7	0	7	0	0	0
137780	32	33	15	0	15	18	0	18	0	0	0
137780	33	22	7	0	7	15	0	15	0	0	0
137780	34	35	17	0	17	18	0	18	0	0	0
137780	35	30	16	0	16	14	0	14	0	0	0
137780	36	19	7	0	7	12	0	12	0	0	0
137780	37	14	4	0	4	10	0	10	0	0	0
137780	38	15	7	0	7	8	0	8	0	0	0
137780	39	18	8	0	8	10	0	10	0	0	0
137780	40	21	9	0	9	12	0	12	0	0	0
137780	41	19	6	0	6	13	0	13	0	0	0
137780	42	16	9	0	9	7	0	7	0	0	0
137780	43	15	5	0	5	10	0	10	0	0	0
137780	44	14	8	0	8	6	0	6	0	0	0
137780	45	24	9	0	9	15	0	15	0	0	0
137780	46	22	12	0	12	10	0	10	0	0	0
